group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
precomputed scalar mul,,,,,988625.0,ns,406
precomputed scalar mul,,,,,1972500.0,ns,812
precomputed scalar mul,,,,,2962625.0,ns,1218
precomputed scalar mul,,,,,3961333.0,ns,1624
precomputed scalar mul,,,,,4965041.0,ns,2030
precomputed scalar mul,,,,,5923250.0,ns,2436
precomputed scalar mul,,,,,6914916.0,ns,2842
precomputed scalar mul,,,,,7902666.0,ns,3248
precomputed scalar mul,,,,,8896708.0,ns,3654
precomputed scalar mul,,,,,9873541.0,ns,4060
precomputed scalar mul,,,,,10869166.0,ns,4466
precomputed scalar mul,,,,,11869875.0,ns,4872
precomputed scalar mul,,,,,12840291.0,ns,5278
precomputed scalar mul,,,,,13833958.0,ns,5684
precomputed scalar mul,,,,,14854500.0,ns,6090
precomputed scalar mul,,,,,15807625.0,ns,6496
precomputed scalar mul,,,,,16792250.0,ns,6902
precomputed scalar mul,,,,,17819666.0,ns,7308
precomputed scalar mul,,,,,18780125.0,ns,7714
precomputed scalar mul,,,,,19740041.0,ns,8120
precomputed scalar mul,,,,,20826041.0,ns,8526
precomputed scalar mul,,,,,21727916.0,ns,8932
precomputed scalar mul,,,,,22721833.0,ns,9338
precomputed scalar mul,,,,,23692791.0,ns,9744
precomputed scalar mul,,,,,24695458.0,ns,10150
precomputed scalar mul,,,,,25671041.0,ns,10556
precomputed scalar mul,,,,,26662875.0,ns,10962
precomputed scalar mul,,,,,27754000.0,ns,11368
precomputed scalar mul,,,,,28845291.0,ns,11774
precomputed scalar mul,,,,,29932125.0,ns,12180
precomputed scalar mul,,,,,30815708.0,ns,12586
precomputed scalar mul,,,,,31620583.0,ns,12992
precomputed scalar mul,,,,,32585583.0,ns,13398
precomputed scalar mul,,,,,33592708.0,ns,13804
precomputed scalar mul,,,,,34594000.0,ns,14210
precomputed scalar mul,,,,,35612416.0,ns,14616
precomputed scalar mul,,,,,36555666.0,ns,15022
precomputed scalar mul,,,,,37539708.0,ns,15428
precomputed scalar mul,,,,,38521958.0,ns,15834
precomputed scalar mul,,,,,39513541.0,ns,16240
precomputed scalar mul,,,,,40508833.0,ns,16646
precomputed scalar mul,,,,,41487250.0,ns,17052
precomputed scalar mul,,,,,42561750.0,ns,17458
precomputed scalar mul,,,,,43612958.0,ns,17864
precomputed scalar mul,,,,,44754833.0,ns,18270
precomputed scalar mul,,,,,45794041.0,ns,18676
precomputed scalar mul,,,,,47126458.0,ns,19082
precomputed scalar mul,,,,,48155875.0,ns,19488
precomputed scalar mul,,,,,48666041.0,ns,19894
precomputed scalar mul,,,,,49848541.0,ns,20300
precomputed scalar mul,,,,,50893666.0,ns,20706
precomputed scalar mul,,,,,51904958.0,ns,21112
precomputed scalar mul,,,,,53098083.0,ns,21518
precomputed scalar mul,,,,,53928291.0,ns,21924
precomputed scalar mul,,,,,54843916.0,ns,22330
precomputed scalar mul,,,,,56207875.0,ns,22736
precomputed scalar mul,,,,,56955291.0,ns,23142
precomputed scalar mul,,,,,57919500.0,ns,23548
precomputed scalar mul,,,,,59003833.0,ns,23954
precomputed scalar mul,,,,,60249625.0,ns,24360
precomputed scalar mul,,,,,60465375.0,ns,24766
precomputed scalar mul,,,,,61481791.0,ns,25172
precomputed scalar mul,,,,,62411333.0,ns,25578
precomputed scalar mul,,,,,63372291.0,ns,25984
precomputed scalar mul,,,,,64701083.0,ns,26390
precomputed scalar mul,,,,,65343916.0,ns,26796
precomputed scalar mul,,,,,66399166.0,ns,27202
precomputed scalar mul,,,,,67299375.0,ns,27608
precomputed scalar mul,,,,,68246375.0,ns,28014
precomputed scalar mul,,,,,69914958.0,ns,28420
precomputed scalar mul,,,,,70680500.0,ns,28826
precomputed scalar mul,,,,,71666916.0,ns,29232
precomputed scalar mul,,,,,72386458.0,ns,29638
precomputed scalar mul,,,,,73225666.0,ns,30044
precomputed scalar mul,,,,,74280250.0,ns,30450
precomputed scalar mul,,,,,75223875.0,ns,30856
precomputed scalar mul,,,,,76171041.0,ns,31262
precomputed scalar mul,,,,,77322041.0,ns,31668
precomputed scalar mul,,,,,79102333.0,ns,32074
precomputed scalar mul,,,,,79988083.0,ns,32480
precomputed scalar mul,,,,,80840708.0,ns,32886
precomputed scalar mul,,,,,82206958.0,ns,33292
precomputed scalar mul,,,,,85726458.0,ns,33698
precomputed scalar mul,,,,,84065833.0,ns,34104
precomputed scalar mul,,,,,93562458.0,ns,34510
precomputed scalar mul,,,,,86660666.0,ns,34916
precomputed scalar mul,,,,,87671916.0,ns,35322
precomputed scalar mul,,,,,87904500.0,ns,35728
precomputed scalar mul,,,,,88239416.0,ns,36134
precomputed scalar mul,,,,,89766500.0,ns,36540
precomputed scalar mul,,,,,90896666.0,ns,36946
precomputed scalar mul,,,,,92285708.0,ns,37352
precomputed scalar mul,,,,,92804333.0,ns,37758
precomputed scalar mul,,,,,94452833.0,ns,38164
precomputed scalar mul,,,,,94282916.0,ns,38570
precomputed scalar mul,,,,,95359750.0,ns,38976
precomputed scalar mul,,,,,96846375.0,ns,39382
precomputed scalar mul,,,,,98111791.0,ns,39788
precomputed scalar mul,,,,,98215458.0,ns,40194
precomputed scalar mul,,,,,99077041.0,ns,40600
